sa2_code,sa2_label,sa2_name_geo,state_name,gccsa_name,lat,lon,digital_jobs,digital_businesses,digital_job_share,digital_job_share_pct,digital_business_share,digital_business_share_pct,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_solo_share_pct,digital_large_employer_share,digital_large_employer_share_pct,gender_income_gap,female_employment_share,ecosystem_category
102011041,Wamberal - Forresters Beach,Wamberal - Forresters Beach,New South Wales,Greater Sydney,-33.40969543270032,151.44995460770298,838.0,182.0,0.1024951076320939,10.24951076320939,0.1720226843100189,17.20226843100189,50997.979116945105,12414.370322913795,4.604395604395604,0.5054945054945055,50.54945054945055,0.0164835164835164,1.64835164835164,21808.5,0.5001550868486352,digitally specialised
102011042,Woy Woy - Blackwall,Woy Woy - Blackwall,New South Wales,Greater Sydney,-33.485172429086546,151.3056574496089,964.0,144.0,0.1006893670357217,10.06893670357217,0.1848523748395378,18.485237483953778,52437.75311203319,15409.578890182347,6.694444444444445,0.5972222222222222,59.72222222222222,0.0208333333333333,2.08333333333333,16823.0,0.501023052789524,digitally specialised
102011043,Wyoming,Wyoming,New South Wales,Greater Sydney,-33.40473108478087,151.36406252420988,695.0,81.0,0.0843241931570007,8.43241931570007,0.1377551020408163,13.77551020408163,49533.97122302158,12130.980747408868,8.580246913580247,0.6049382716049383,60.49382716049383,0.0,0.0,17670.5,0.5008964955175225,lower digital concentration
102021044,Bateau Bay - Killarney Vale,Bateau Bay - Killarney Vale,New South Wales,Greater Sydney,-33.3795940720267,151.4674545491948,1027.0,144.0,0.0632155607534162,6.321556075341619,0.1159420289855072,11.594202898550721,43649.6299902629,7345.611924277429,7.131944444444445,0.6041666666666666,60.416666666666664,0.0,0.0,18327.5,0.5047819743880694,lower digital concentration
102021047,Chittaway Bay - Tumbi Umbi,Chittaway Bay - Tumbi Umbi,New South Wales,Greater Sydney,-33.354468523877266,151.42828711224516,949.0,144.0,0.0763721229679703,7.63721229679703,0.1149241819632881,11.49241819632881,39442.70600632244,333.23216115907417,6.590277777777778,0.5486111111111112,54.861111111111114,0.0,0.0,20016.0,0.4997912317327766,lower digital concentration
102021048,Gorokan - Kanwal - Charmhaven,Gorokan - Kanwal - Charmhaven,New South Wales,Greater Sydney,-33.25792662360941,151.494759326935,847.0,80.0,0.0539696699375557,5.396966993755569,0.087719298245614,8.7719298245614,32238.214876033056,-282.28365843871507,10.5875,0.575,57.49999999999999,0.0375,3.75,15006.0,0.4964079200981251,large-employer / job-heavy hub
102021053,The Entrance,The Entrance,New South Wales,Greater Sydney,-33.32907941508135,151.51204276284903,804.0,135.0,0.0713525026624068,7.135250266240679,0.1133501259445843,11.33501259445843,34279.84328358209,3287.130069169598,5.955555555555556,0.4962962962962963,49.629629629629626,0.0222222222222222,2.2222222222222197,11782.0,0.5038240917782026,lower digital concentration
102021055,Tuggerah - Kangy Angy,Tuggerah - Kangy Angy,New South Wales,Greater Sydney,-33.30486573524446,151.41218380483636,366.0,112.0,0.0822471910112359,8.22471910112359,0.1055607917059378,10.55607917059378,42884.629781420765,6624.591017375824,3.267857142857143,0.4107142857142857,41.07142857142857,0.0446428571428571,4.46428571428571,17508.0,0.4897709923664122,lower digital concentration
102021056,Warnervale - Wadalba,Warnervale - Wadalba,New South Wales,Greater Sydney,-33.242017848353946,151.45816004740473,981.0,128.0,0.0591641034919486,5.9164103491948605,0.1133746678476528,11.33746678476528,43183.4622833843,6355.27091977535,7.6640625,0.53125,53.125,0.0,0.0,22089.5,0.5035046728971962,emerging growth corridor
103011612,Bathurst - South,Bathurst - South,New South Wales,Rest of NSW,-33.45231899619161,149.57816524992356,407.0,135.0,0.0499386503067484,4.99386503067484,0.1179039301310043,11.790393013100429,32694.496314496315,3123.4089525331256,3.0148148148148146,0.4666666666666667,46.666666666666664,0.0296296296296296,2.96296296296296,6937.0,0.4847105933745904,lower digital concentration
