sa2_code,sa2_label,digital_jobs,digital_businesses,digital_job_share,digital_business_share,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_large_employer_share,male_median_income,female_median_income,gender_income_gap,female_employment_share,ecosystem_category
301031019,Wakerley,947.0,185.0,0.1191045151553263,0.2114285714285714,79448.10982048574,27578.611581270547,5.118918918918919,0.5351351351351351,0.0,98821.0,65608.0,33213.0,0.5098853630171125,high-income specialist
301031020,Wynnum,1254.0,272.0,0.1061003468990608,0.2162162162162162,65912.46810207337,21522.34956412599,4.610294117647059,0.5845588235294118,0.0,80596.0,59878.0,20718.0,0.4913281861922345,emerging growth corridor
301031021,Wynnum West - Hemmant,1159.0,166.0,0.0853838220126712,0.1439722463139635,60558.50992234685,18811.795136727284,6.981927710843373,0.6144578313253012,0.036144578313253,75950.0,58971.5,16978.5,0.4900588354635828,emerging growth corridor
302011022,Bald Hills,617.0,70.0,0.0890974729241877,0.1508620689655172,55769.16855753647,16135.7967885834,8.814285714285715,0.6,0.0,72500.0,57204.0,15296.0,0.4877760252365931,digitally specialised
302011023,Bridgeman Downs,1102.0,173.0,0.123514906971531,0.1582799634034766,68743.1497277677,21134.673713421136,6.369942196531792,0.5549132947976878,0.0173410404624277,90532.5,61337.0,29195.5,0.5033304373008978,high-income specialist
302011024,Carseldine,847.0,110.0,0.1058485378655336,0.1594202898550724,61801.70188902007,20733.117722561685,7.7,0.6181818181818182,0.0272727272727272,76358.5,59664.0,16694.5,0.5028990450204639,digitally specialised
302011025,Everton Park,1094.0,130.0,0.1199166940699331,0.1884057971014492,68697.37659963437,22956.91551227276,8.415384615384616,0.5538461538461539,0.0,82577.0,63250.0,19327.0,0.5071280071280071,emerging growth corridor
302011026,McDowall,832.0,111.0,0.1207196749854904,0.1971580817051509,65786.71875,18470.87625145096,7.495495495495495,0.5945945945945946,0.0,86941.0,61696.0,25245.0,0.5011534025374856,digitally specialised
302021027,Aspley,1049.0,176.0,0.1031769450181961,0.1689059500959693,59481.51572926597,17588.76565549789,5.9602272727272725,0.5284090909090909,0.0170454545454545,76206.0,58421.0,17785.0,0.4986873195064321,digitally specialised
302021028,Chermside,982.0,98.0,0.0896148932286913,0.1072210065645514,48091.097759674136,14433.970637936596,10.020408163265309,0.5204081632653061,0.0408163265306122,66542.0,59353.0,7189.0,0.5107767385115901,large-employer / job-heavy hub
302021029,Chermside West,507.0,67.0,0.0902135231316726,0.1505617977528089,54547.98816568047,12319.429535787232,7.567164179104478,0.582089552238806,0.0,75746.0,61333.0,14413.0,0.4990421455938697,digitally specialised
302021031,Kedron - Gordon Park,1670.0,243.0,0.1206821795057089,0.1870669745958429,67036.74850299401,21479.706697819856,6.872427983539095,0.5390946502057613,0.0164609053497942,82312.5,68684.0,13628.5,0.5066413662239089,emerging growth corridor
302021032,Stafford,751.0,145.0,0.1203525641025641,0.177045177045177,59051.20905459388,17175.50801292721,5.179310344827586,0.5103448275862069,0.0275862068965517,78154.0,62130.0,16024.0,0.4998885172798216,digitally specialised
302021033,Stafford Heights,697.0,96.0,0.1213017751479289,0.2222222222222222,62278.791965566714,19898.74958826076,7.260416666666667,0.5208333333333334,0.03125,79999.5,58587.0,21412.5,0.4957627118644068,digitally specialised
302021034,Wavell Heights,1067.0,186.0,0.1194581280788177,0.2092238470191226,71045.57357075914,21369.55896036953,5.736559139784946,0.5752688172043011,0.0161290322580645,91160.0,66595.0,24565.0,0.5003707548568886,high-income specialist
302031035,Boondall,726.0,81.0,0.0876811594202898,0.1377551020408163,51815.47245179064,11413.981992853442,8.962962962962964,0.6666666666666666,0.0,74112.0,58980.0,15132.0,0.4901830282861897,lower digital concentration
302031037,Eagle Farm - Pinkenba,321.0,114.0,0.1319901315789473,0.1191222570532915,62183.69158878505,17512.12949996926,2.8157894736842106,0.4210526315789473,0.0614035087719298,84995.0,66904.0,18091.0,0.4937428896473265,emerging growth corridor
302031038,Northgate - Virginia,774.0,161.0,0.1107137748533829,0.1366723259762309,67843.00129198967,25381.18846120723,4.807453416149069,0.422360248447205,0.0372670807453416,79702.0,63920.0,15782.0,0.4886659979939819,emerging growth corridor
302031039,Nudgee - Banyo,1050.0,175.0,0.1051998797715659,0.1838235294117647,68442.70285714285,22879.74518757067,6.0,0.4628571428571428,0.0285714285714285,82473.0,65059.0,17414.0,0.4848610535047698,emerging growth corridor
302031040,Nundah,1706.0,189.0,0.120395201129146,0.1690518783542039,59726.460726846424,19302.956492548612,9.026455026455029,0.6084656084656085,0.0158730158730158,75945.0,65326.0,10619.0,0.4996922445629873,emerging growth corridor
302041041,Bracken Ridge,1071.0,114.0,0.0725658919981028,0.128668171557562,51191.11484593838,11838.857443675348,9.394736842105264,0.543859649122807,0.0,71720.0,56442.0,15278.0,0.495759587020649,lower digital concentration
302041042,Brighton (Qld),730.0,113.0,0.0929936305732484,0.1955017301038062,58932.99178082192,12778.465793560768,6.460176991150442,0.6194690265486725,0.0,82292.0,60926.0,21366.0,0.5031160518780529,digitally specialised
302041044,Sandgate - Shorncliffe,526.0,123.0,0.1023545436855419,0.2063758389261745,74085.6169201521,29176.056499836857,4.276422764227642,0.5528455284552846,0.024390243902439,81540.0,60836.0,20704.0,0.4990981705745941,digitally specialised
302041045,Taigum - Fitzgibbon,1044.0,98.0,0.08831740123509,0.1131639722863741,60612.416666666664,23877.97685615994,10.653061224489797,0.5918367346938775,0.0306122448979591,68476.0,56869.0,11607.0,0.5127078384798099,large-employer / job-heavy hub
302041046,Zillmere,753.0,54.0,0.0883802816901408,0.0888157894736842,55243.051792828686,20421.14169893197,13.944444444444445,0.6851851851851852,0.0,65041.0,57005.0,8036.0,0.4785787147228834,lower digital concentration
303011047,Camp Hill,1503.0,237.0,0.1383723071257595,0.20844327176781,64470.6753160346,15084.799464441889,6.341772151898734,0.5063291139240507,0.0168776371308016,96635.0,69848.0,26787.0,0.5128141941843273,emerging growth corridor
303011048,Cannon Hill,931.0,126.0,0.1376404494382022,0.196875,66524.68313641247,19314.81286734091,7.388888888888889,0.5317460317460317,0.0,85685.0,64400.0,21285.0,0.4967650626769106,emerging growth corridor
303011049,Carina,1295.0,177.0,0.1229819563152896,0.2185185185185185,67701.07799227799,20817.42908439575,7.31638418079096,0.5875706214689266,0.0,84978.0,67589.0,17389.0,0.5185617860851506,emerging growth corridor
303011050,Carina Heights,698.0,77.0,0.1132014271813169,0.1610878661087866,60567.5787965616,16436.98886792067,9.064935064935066,0.5844155844155844,0.0,77311.5,64876.0,12435.5,0.514578232806588,digitally specialised
303011051,Carindale,1617.0,294.0,0.1258561643835616,0.1875,59689.80643166357,15853.534599471794,5.5,0.5850340136054422,0.0,80386.0,57660.0,22726.0,0.4955253896430367,digitally specialised
303021052,Annerley,1596.0,190.0,0.1236059479553903,0.1950718685831622,54076.65162907268,19957.462154165616,8.4,0.6842105263157895,0.0,66294.0,60859.0,5435.0,0.5,small-business / consultant-heavy
303021053,Coorparoo,2360.0,357.0,0.1320944811373558,0.1921420882669537,58359.60338983051,17691.868614279185,6.610644257703081,0.5350140056022409,0.011204481792717,78972.0,66106.0,12866.0,0.5061748067883037,major digital hub
303021054,Fairfield - Dutton Park,638.0,94.0,0.1219418960244648,0.2315270935960591,45232.27272727273,14169.320223450097,6.787234042553192,0.648936170212766,0.0,62688.0,54560.0,8128.0,0.4959417856143297,small-business / consultant-heavy
303021055,Greenslopes,1439.0,257.0,0.1273902266288951,0.1891096394407652,55677.260250173735,17950.682390754468,5.599221789883268,0.4669260700389105,0.0233463035019455,71758.0,64154.0,7604.0,0.5045114720288735,emerging growth corridor
303021056,Holland Park,929.0,155.0,0.1243641231593038,0.2063914780292942,65214.68460710441,21649.142237626504,5.993548387096774,0.5806451612903226,0.0,81752.0,64027.5,17724.5,0.5125655396854095,digitally specialised
303021057,Holland Park West,731.0,95.0,0.1276632902549773,0.1752767527675277,61663.94801641587,16867.630429968085,7.694736842105264,0.5789473684210527,0.0,82277.0,67874.0,14403.0,0.4948162111215834,digitally specialised
303021058,Woolloongabba,1206.0,223.0,0.1028308321964529,0.1712749615975422,42933.5,18471.362380627557,5.408071748878924,0.4887892376681614,0.0403587443946188,59473.0,47669.0,11804.0,0.5072600161333692,emerging growth corridor
303021059,Yeronga,1227.0,212.0,0.1354005738247627,0.196660482374768,57641.07457212714,18189.622188547357,5.787735849056604,0.5990566037735849,0.0188679245283018,75718.0,63915.0,11803.0,0.5078637959993892,digitally specialised
303031060,Eight Mile Plains,1264.0,383.0,0.0969920196439533,0.1501960784313725,55087.329113924054,22311.029236698763,3.300261096605744,0.5013054830287206,0.0339425587467362,61090.5,49964.5,11126.0,0.4860967005602822,emerging growth corridor
303031061,Macgregor (Qld),510.0,56.0,0.0790697674418604,0.0866873065015479,39149.55392156863,17835.92268125855,9.107142857142858,0.6607142857142857,0.0,48432.0,41201.0,7231.0,0.4702777140234106,lower digital concentration
