date,occupation,state,state_name,vacancies
2020-03-01,ICT Business and Systems Analysts,AUST,Australia,2879.67
2020-04-01,ICT Business and Systems Analysts,AUST,Australia,2295.67
2020-05-01,ICT Business and Systems Analysts,AUST,Australia,1726.33
2020-06-01,ICT Business and Systems Analysts,AUST,Australia,1361.67
2020-07-01,ICT Business and Systems Analysts,AUST,Australia,1598.33
2020-08-01,ICT Business and Systems Analysts,AUST,Australia,1715.33
2020-09-01,ICT Business and Systems Analysts,AUST,Australia,1909.33
2020-10-01,ICT Business and Systems Analysts,AUST,Australia,1990.67
2020-11-01,ICT Business and Systems Analysts,AUST,Australia,2138.67
2020-12-01,ICT Business and Systems Analysts,AUST,Australia,2064.0
2021-01-01,ICT Business and Systems Analysts,AUST,Australia,2142.0
2021-02-01,ICT Business and Systems Analysts,AUST,Australia,2391.0
2021-03-01,ICT Business and Systems Analysts,AUST,Australia,2928.67
2021-04-01,ICT Business and Systems Analysts,AUST,Australia,3175.67
2021-05-01,ICT Business and Systems Analysts,AUST,Australia,3208.67
2021-06-01,ICT Business and Systems Analysts,AUST,Australia,3151.67
2021-07-01,ICT Business and Systems Analysts,AUST,Australia,3369.33
2021-08-01,ICT Business and Systems Analysts,AUST,Australia,3623.67
2021-09-01,ICT Business and Systems Analysts,AUST,Australia,3884.67
2021-10-01,ICT Business and Systems Analysts,AUST,Australia,3924.0
2021-11-01,ICT Business and Systems Analysts,AUST,Australia,3933.67
2021-12-01,ICT Business and Systems Analysts,AUST,Australia,3429.33
2022-01-01,ICT Business and Systems Analysts,AUST,Australia,3283.67
2022-02-01,ICT Business and Systems Analysts,AUST,Australia,3376.0
2022-03-01,ICT Business and Systems Analysts,AUST,Australia,4086.0
2022-04-01,ICT Business and Systems Analysts,AUST,Australia,4067.33
2022-05-01,ICT Business and Systems Analysts,AUST,Australia,4089.67
2022-06-01,ICT Business and Systems Analysts,AUST,Australia,3788.33
2022-07-01,ICT Business and Systems Analysts,AUST,Australia,3904.67
2022-08-01,ICT Business and Systems Analysts,AUST,Australia,3830.33
2022-09-01,ICT Business and Systems Analysts,AUST,Australia,3737.0
2022-10-01,ICT Business and Systems Analysts,AUST,Australia,3650.33
2022-11-01,ICT Business and Systems Analysts,AUST,Australia,3481.33
2022-12-01,ICT Business and Systems Analysts,AUST,Australia,3052.67
2023-01-01,ICT Business and Systems Analysts,AUST,Australia,2984.33
2023-02-01,ICT Business and Systems Analysts,AUST,Australia,2919.67
2023-03-01,ICT Business and Systems Analysts,AUST,Australia,3484.33
2023-04-01,ICT Business and Systems Analysts,AUST,Australia,3389.0
2023-05-01,ICT Business and Systems Analysts,AUST,Australia,3423.33
2023-06-01,ICT Business and Systems Analysts,AUST,Australia,3110.0
2023-07-01,ICT Business and Systems Analysts,AUST,Australia,3094.0
2023-08-01,ICT Business and Systems Analysts,AUST,Australia,3053.0
2023-09-01,ICT Business and Systems Analysts,AUST,Australia,2965.0
2023-10-01,ICT Business and Systems Analysts,AUST,Australia,2866.67
2023-11-01,ICT Business and Systems Analysts,AUST,Australia,2616.0
2023-12-01,ICT Business and Systems Analysts,AUST,Australia,2267.33
2024-01-01,ICT Business and Systems Analysts,AUST,Australia,2123.0
2024-02-01,ICT Business and Systems Analysts,AUST,Australia,2194.67
2024-03-01,ICT Business and Systems Analysts,AUST,Australia,2478.33
2024-04-01,ICT Business and Systems Analysts,AUST,Australia,2489.67
2024-05-01,ICT Business and Systems Analysts,AUST,Australia,2421.67
2024-06-01,ICT Business and Systems Analysts,AUST,Australia,2283.33
2024-07-01,ICT Business and Systems Analysts,AUST,Australia,2209.67
2024-08-01,ICT Business and Systems Analysts,AUST,Australia,2179.33
2024-09-01,ICT Business and Systems Analysts,AUST,Australia,2225.33
2024-10-01,ICT Business and Systems Analysts,AUST,Australia,2300.67
